id,title,age,available,neighbourhood,postcode,type,rooms,monthly_price_usd,monthly_min_usd,monthly_max_usd,link,long,lat,postcode_latlong,commute_time,commute_distance
101185720,Furnished Private Room in Hell's Kitchen #171D,3,31 Aug,Hell's Kitchen,10036,apartment,2,"$1,725",1725,1725,https://www.spareroom.com/roommate/fad_click.pl?fad_id=101185720&search_id=500028946123&offset=0&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9932872,40.7602619,40.7602619+-73.9932872,908,1167
101264476,Stunning Large Bedrooms in New Building,0,Available Now,Bushwick,11221,apartment,3,"$1,175- $1,200",1175,1200,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101264476&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9271644,40.6903213,40.6903213+-73.9271644,1674,12026
101263819,Crown Heights Room For Rent,1,15 Jul,Crown Heights,11225,apartment,4,$925,925,925,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101263819&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9565551,40.6648278,40.6648278+-73.9565551,2569,13344
100919452,Stunning Ridgewood Apartment! Recently renovated!,1,Available Now,Ridgewood,11385,apartment,5,"$1,050- $1,100",1050,1100,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100919452&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.8948295,40.698070800000004,40.6980708+-73.8948295,3218,15182
101262964,Room in Spacious 2-Bedroom LES Apt,1,15 Jul,Alphabet City,10009,apartment,2,"$1,700",1700,1700,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101262964&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9800645,40.7275043,40.7275043+-73.9800645,1611,5054
101262691,Rooms for Rent ( 3 Bedrooms Available),1,Available Now,Williamsbridge,10467,apartment,3,"$1,000",1000,1000,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101262691&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.8713099,40.8723987,40.8723987+-73.8713099,3000,18497
100891597,Sunny 4 bedroom apt in Clinton Hill,1,1 Aug,Clinton Hill,11238,apartment,4,"$850- $1,200",850,1200,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100891597&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.96243270000001,40.6805029,40.6805029+-73.9624327,1887,12111
101262157,Room(s) for rent!,0,1 Aug,Greenpoint,11222,apartment,3,$867,867,867,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101262157&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.9506774,40.7282702,40.7282702+-73.9506774,1565,6808
101263906,One Room in Spacious Apartment for Aug + Sept,1,1 Aug,Sunnyside,11104,apartment,2,"$1,075",1075,1075,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=101263906&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.91981609999999,40.7448741,40.7448741+-73.9198161,1853,6513
100521409,Room in Bed-Stuy Brooklyn,1,Available Now,Bedford - Stuyvesant,11233,apartment,3,$850,850,850,https://www.spareroom.com/roommate/room_for_rent.pl?flatshare_id=100521409&search_id=500028946123&city_id=500&flatshare_type=offered&search_results=%2Froommate%2F%3Foffset%3D0%26search_id%3D500028946123%26sort_by%3Dage%26mode%3Dlist&,-73.92128579999999,40.6795939,40.6795939+-73.9212858,2104,15677
